"","name","embedding_dim","annealer","loss","ce","hib","cib"
"28","char_small_model_trial1_linear_20",20,"linear",2.07245421409607,1.8846048116684,20.6550369262695,16.9148197174072
"29","char_small_model_trial2_linear_20",20,"linear",2.07719492912292,1.88581001758575,20.3725280761719,17.9044246673584
"30","char_small_model_trial3_linear_20",20,"linear",2.07635807991028,1.89012622833252,20.7564926147461,16.489767074585
"31","char_small_model_trial1_elbow_20",20,"elbow",2.07712602615356,1.89193761348724,20.9873294830322,16.0503826141357
"32","char_small_model_trial2_elbow_20",20,"elbow",2.0755660533905,1.88330578804016,20.1691627502441,18.2829170227051
"33","char_small_model_trial3_elbow_20",20,"elbow",2.07609081268311,1.8797994852066,21.0210952758789,18.2371654510498
"34","char_small_model_trial1_double_elbow_20",20,"double_elbow",2.07749342918396,1.88598191738129,20.8209972381592,17.4813175201416
"35","char_small_model_trial2_double_elbow_20",20,"double_elbow",2.07609605789185,1.89052796363831,20.7217960357666,16.3917980194092
"36","char_small_model_trial3_double_elbow_20",20,"double_elbow",2.07272624969482,1.8885053396225,20.5446701049805,16.2996273040771
"37","char_small_model_trial1_none_25",25,"none",2.06787300109863,1.91113209724426,17.1175975799561,14.2305841445923
"38","char_small_model_trial2_none_25",25,"none",2.05882716178894,1.90247619152069,18.0773143768311,13.1928510665894
"39","char_small_model_trial3_none_25",25,"none",2.06286787986755,1.9074239730835,16.9666595458984,14.1220083236694
"40","char_small_model_trial1_linear_25",25,"linear",2.07772493362427,1.87926411628723,20.9905071258545,18.7017192840576
"41","char_small_model_trial2_linear_25",25,"linear",2.06842136383057,1.87724471092224,21.1745262145996,17.0608901977539
"42","char_small_model_trial3_linear_25",25,"linear",2.06639552116394,1.87832844257355,21.392993927002,16.2204074859619
"43","char_small_model_trial1_elbow_25",25,"elbow",2.0739312171936,1.88576507568359,20.0780944824219,17.5551662445068
"44","char_small_model_trial2_elbow_25",25,"elbow",2.07713294029236,1.88366222381592,21.2512073516846,17.4428939819336
"45","char_small_model_trial3_elbow_25",25,"elbow",2.07742500305176,1.8916974067688,20.2753009796143,16.8701477050781
"46","char_small_model_trial1_double_elbow_25",25,"double_elbow",2.078782081604,1.88805031776428,20.8667736053467,17.279541015625
"47","char_small_model_trial2_double_elbow_25",25,"double_elbow",2.08167099952698,1.88491642475128,21.5162734985352,17.8347702026367
"48","char_small_model_trial3_double_elbow_25",25,"double_elbow",2.0810399055481,1.88652372360229,21.1304492950439,17.7728099822998
"49","char_small_model_trial1_none_30",30,"none",2.07213068008423,1.92554461956024,16.910758972168,12.4064340591431
"50","char_small_model_trial2_none_30",30,"none",2.05176448822021,1.89329600334167,18.3518142700195,13.3419256210327
"51","char_small_model_trial3_none_30",30,"none",2.05607390403748,1.89990818500519,17.3841342926025,13.8490133285522
"52","char_small_model_trial1_linear_30",30,"linear",2.07074356079102,1.87800705432892,21.4858112335205,17.0615234375
"53","char_small_model_trial2_linear_30",30,"linear",2.07569146156311,1.878830909729,21.1276092529297,18.244457244873
"54","char_small_model_trial3_linear_30",30,"linear",2.07569622993469,1.87799155712128,21.3622608184814,18.1786994934082
"55","char_small_model_trial1_elbow_30",30,"elbow",2.07393622398376,1.88357532024384,21.0762157440186,16.9959278106689
"56","char_small_model_trial2_elbow_30",30,"elbow",2.07408690452576,1.87852680683136,20.9761905670166,18.1358852386475
"57","char_small_model_trial3_elbow_30",30,"elbow",2.07247424125671,1.88229286670685,20.9360046386719,17.100305557251
"58","char_small_model_trial1_double_elbow_30",30,"double_elbow",2.08065748214722,1.89401268959045,21.4641761779785,15.8647861480713
"59","char_small_model_trial2_double_elbow_30",30,"double_elbow",2.07484984397888,1.87925612926483,21.4758834838867,17.6427001953125
"60","char_small_model_trial3_double_elbow_30",30,"double_elbow",2.08367156982422,1.8827006816864,21.2817115783691,18.9124183654785
