name,h_size,num_layers,embedding_dim,annealer,loss,ce,hib,cib
char_model_double_elbow_75_1_15,75,1,15,double_elbow,1.6494375467300415,1.5584313869476318,100.29844665527344,81.71405029296875
char_model_none_75_1_20,75,1,20,none,1.6676417589187622,1.5808796882629395,94.9096450805664,78.61396789550781
char_model_linear_75_1_20,75,1,20,linear,1.6500608921051025,1.562313199043274,100.43301391601562,75.06306457519531
char_model_elbow_75_1_20,75,1,20,elbow,1.6560709476470947,1.5688810348510742,94.08308410644531,80.2972412109375
char_model_double_elbow_75_1_20,75,1,20,double_elbow,1.6448479890823364,1.5543831586837769,97.92459869384766,83.00521087646484
char_model_none_75_1_25,75,1,25,none,1.6489877700805664,1.5621182918548584,97.0375747680664,76.7017593383789
char_model_linear_75_1_25,75,1,25,linear,1.6468640565872192,1.557963490486145,101.33489990234375,76.4664306640625
char_model_elbow_75_1_25,75,1,25,elbow,1.636546015739441,1.5438741445541382,96.19103240966797,89.15218353271484
char_model_double_elbow_75_1_25,75,1,25,double_elbow,1.6445629596710205,1.5557608604431152,97.37822723388672,80.22552490234375
char_model_none_75_1_30,75,1,30,none,1.6662532091140747,1.5811784267425537,92.2215347290039,77.9281234741211
char_model_linear_75_1_30,75,1,30,linear,1.6319172382354736,1.5372461080551147,100.04186248779297,89.30016326904297
char_model_elbow_75_1_30,75,1,30,elbow,1.646633267402649,1.5585999488830566,95.26045989990234,80.80673217773438
char_model_double_elbow_75_1_30,75,1,30,double_elbow,1.6465057134628296,1.5582165718078613,95.91606140136719,80.66140747070312
char_model_none_50_3_10,50,3,10,none,2.8063132762908936,2.7478268146514893,63.262298583984375,53.71022033691406
char_model_linear_50_3_10,50,3,10,linear,2.805638074874878,2.7477376461029053,62.43925476074219,53.362037658691406
char_model_elbow_50_3_10,50,3,10,elbow,2.8063433170318604,2.7475664615631104,64.48401641845703,53.072086334228516
char_model_double_elbow_50_3_10,50,3,10,double_elbow,2.8053462505340576,2.747459888458252,62.51174545288086,53.26012420654297
char_model_none_50_3_15,50,3,15,none,2.8055458068847656,2.7458748817443848,64.34259796142578,54.99929428100586
char_model_linear_50_3_15,50,3,15,linear,2.8052501678466797,2.7478365898132324,61.001258850097656,53.8256721496582
char_model_elbow_50_3_15,50,3,15,elbow,2.8055615425109863,2.747528314590454,62.67196273803711,53.393009185791016
char_model_double_elbow_50_3_15,50,3,15,double_elbow,2.8054921627044678,2.7477259635925293,62.34333801269531,53.18910217285156
char_model_none_50_3_20,50,3,20,none,2.8067307472229004,2.7477869987487793,63.660247802734375,54.22862243652344
char_model_linear_50_3_20,50,3,20,linear,2.8051135540008545,2.7477071285247803,61.27632522583008,53.53656768798828
char_model_elbow_50_3_20,50,3,20,elbow,2.804114818572998,2.746032476425171,62.76506423950195,53.39969253540039
char_model_double_elbow_50_3_20,50,3,20,double_elbow,2.8046987056732178,2.747309684753418,61.23249816894531,53.54573059082031
char_model_none_50_3_25,50,3,25,none,2.807124137878418,2.7475292682647705,64.64060974121094,54.54958724975586
char_model_linear_50_3_25,50,3,25,linear,2.8052542209625244,2.7476806640625,62.08122253417969,53.06556701660156
char_model_elbow_50_3_25,50,3,25,elbow,2.805475950241089,2.7475523948669434,62.31678009033203,53.52997970581055
char_model_double_elbow_50_3_25,50,3,25,double_elbow,2.8040757179260254,2.746366024017334,61.48417663574219,53.93470001220703
char_model_none_50_3_30,50,3,30,none,2.807685136795044,2.748126983642578,64.43313598632812,54.68368148803711
char_model_linear_50_3_30,50,3,30,linear,2.805868148803711,2.747917890548706,62.43206787109375,53.46864318847656
char_model_elbow_50_3_30,50,3,30,elbow,2.8051443099975586,2.7471659183502197,62.58396530151367,53.37261199951172
char_model_double_elbow_50_3_30,50,3,30,double_elbow,2.8037734031677246,2.74542498588562,62.50402069091797,54.19305419921875
char_model_none_50_2_10,50,2,10,none,1.7741154432296753,1.6430965662002563,162.0994110107422,99.93787384033203
char_model_linear_50_2_10,50,2,10,linear,1.7361499071121216,1.5952801704406738,168.3823699951172,113.35760498046875
char_model_elbow_50_2_10,50,2,10,elbow,1.7576816082000732,1.6215451955795288,164.8574981689453,107.4156494140625
char_model_double_elbow_50_2_10,50,2,10,double_elbow,1.7600377798080444,1.624180555343628,164.137939453125,107.57646179199219
char_model_none_50_2_15,50,2,15,none,1.7540135383605957,1.6180074214935303,160.499267578125,111.51331329345703
char_model_linear_50_2_15,50,2,15,linear,1.7310594320297241,1.592348575592041,162.4535369873047,114.9684829711914
char_model_elbow_50_2_15,50,2,15,elbow,1.74858820438385,1.6096967458724976,167.272705078125,110.50995635986328
char_model_double_elbow_50_2_15,50,2,15,double_elbow,1.7465718984603882,1.6109254360198975,163.05545043945312,108.23750305175781
char_model_none_50_2_20,50,2,20,none,1.7421005964279175,1.6039551496505737,162.41094970703125,113.87969207763672
char_model_linear_50_2_20,50,2,20,linear,1.7262413501739502,1.5868631601333618,163.46673583984375,115.28964233398438
char_model_elbow_50_2_20,50,2,20,elbow,1.722129225730896,1.5789633989334106,163.818115234375,122.51363372802734
char_model_double_elbow_50_2_20,50,2,20,double_elbow,1.7329380512237549,1.5943222045898438,166.23887634277344,110.99293518066406
char_model_none_50_2_25,50,2,25,none,1.7575187683105469,1.6246432065963745,154.77320861816406,110.978515625
char_model_linear_50_2_25,50,2,25,linear,1.7448277473449707,1.6089017391204834,161.28285217285156,110.56900787353516
char_model_elbow_50_2_25,50,2,25,elbow,1.7394647598266602,1.6015121936798096,162.93589782714844,112.96961975097656
char_model_double_elbow_50_2_25,50,2,25,double_elbow,1.7325501441955566,1.5938059091567993,165.9917449951172,111.49701690673828
char_model_none_50_2_30,50,2,30,none,1.7411478757858276,1.6036806106567383,162.40414428710938,112.53004455566406
char_model_linear_50_2_30,50,2,30,linear,1.7450448274612427,1.6084575653076172,166.98895263671875,106.18684387207031
char_model_elbow_50_2_30,50,2,30,elbow,1.7503118515014648,1.6156508922576904,166.05722045898438,103.26363372802734
char_model_double_elbow_50_2_30,50,2,30,double_elbow,1.7481417655944824,1.613057255744934,166.09034729003906,104.07839965820312
char_model_none_50_1_10,50,1,10,none,1.7692850828170776,1.7084202766418457,66.98225402832031,54.74711227416992
char_model_linear_50_1_10,50,1,10,linear,1.7478210926055908,1.6828956604003906,71.4281997680664,58.422325134277344
char_model_elbow_50_1_10,50,1,10,elbow,1.751491904258728,1.6880885362625122,69.33346557617188,57.47373962402344
char_model_double_elbow_50_1_10,50,1,10,double_elbow,1.7559248208999634,1.6930534839630127,70.37762451171875,55.364776611328125
char_model_none_50_1_15,50,1,15,none,1.7617617845535278,1.699507713317871,68.43667602539062,56.07168960571289
