meanings,signal length,signal dimension,MI,theoretical best
4,3,1,1.243240237236023,2.0
4,3,1,1.244618535041809,2.0
4,3,1,1.243542194366455,2.0
4,3,1,1.2327648401260376,2.0
4,3,1,1.2443090677261353,2.0
4,3,1,1.2433184385299683,2.0
4,3,1,1.2465428113937378,2.0
4,3,1,1.2463172674179077,2.0
4,3,2,1.993261694908142,2.0
4,3,2,1.9879828691482544,2.0
4,3,2,1.245675802230835,2.0
4,3,2,1.2439574003219604,2.0
4,3,2,1.2443643808364868,2.0
4,3,2,1.9869860410690308,2.0
4,3,2,1.9815281629562378,2.0
4,3,2,1.9874560832977295,2.0
4,3,2,1.9836111068725586,2.0
4,3,2,1.246191143989563,2.0
4,3,3,1.9870290756225586,2.0
4,3,3,1.9903717041015625,2.0
4,3,3,1.9917442798614502,2.0
4,3,3,1.990396499633789,2.0
4,3,3,1.9939441680908203,2.0
4,3,3,1.9905829429626465,2.0
4,3,3,1.9900531768798828,2.0
4,3,3,1.9910551309585571,2.0
4,3,3,1.9918212890625,2.0
4,3,3,1.9948270320892334,2.0
4,4,1,1.9917244911193848,2.0
4,4,1,1.2391952276229858,2.0
4,4,1,1.2426178455352783,2.0
4,4,1,1.2442498207092285,2.0
4,4,1,1.2429734468460083,2.0
4,4,1,1.247338891029358,2.0
4,4,1,1.9928922653198242,2.0
4,4,1,1.2432072162628174,2.0
4,4,1,1.2463971376419067,2.0
4,4,1,1.2455132007598877,2.0
4,4,2,1.9905970096588135,2.0
4,4,2,1.9959439039230347,2.0
4,4,2,1.9978766441345215,2.0
4,4,2,1.9879240989685059,2.0
4,4,2,1.9952621459960938,2.0
4,4,2,1.9836516380310059,2.0
4,4,2,1.9879429340362549,2.0
4,4,2,1.9828054904937744,2.0
4,4,2,1.9907861948013306,2.0
4,4,2,1.985074758529663,2.0
4,4,3,1.992571234703064,2.0
4,4,3,1.9980369806289673,2.0
4,4,3,1.9854010343551636,2.0
4,4,3,1.985247015953064,2.0
4,4,3,1.998746395111084,2.0
4,4,3,1.9961234331130981,2.0
4,4,3,1.9928936958312988,2.0
4,4,3,1.9976255893707275,2.0
4,4,3,1.9909746646881104,2.0
4,4,3,1.9947293996810913,2.0
4,5,1,1.2428085803985596,2.0
4,5,1,1.2446668148040771,2.0
4,5,1,1.2463252544403076,2.0
4,5,1,1.246496558189392,2.0
4,5,1,1.9876700639724731,2.0
4,5,1,1.2445133924484253,2.0
4,5,1,1.9892501831054688,2.0
4,5,1,1.242762804031372,2.0
4,5,1,1.9921152591705322,2.0
4,5,1,1.9843335151672363,2.0
4,5,2,1.9912562370300293,2.0
4,5,2,1.9948114156723022,2.0
4,5,2,1.9958909749984741,2.0
4,5,2,1.9924023151397705,2.0
4,5,2,1.9897540807724,2.0
4,5,2,1.9915363788604736,2.0
4,5,2,1.9993072748184204,2.0
4,5,2,1.992093801498413,2.0
4,5,2,1.9843372106552124,2.0
4,5,2,1.9775582551956177,2.0
4,5,3,1.990563154220581,2.0
4,5,3,1.9941385984420776,2.0
4,5,3,1.992313027381897,2.0
4,5,3,1.998121976852417,2.0
4,5,3,1.992397427558899,2.0
4,5,3,1.9965996742248535,2.0
4,5,3,1.9934911727905273,2.0
4,5,3,1.9871989488601685,2.0
4,5,3,1.994739055633545,2.0
4,5,3,1.9958940744400024,2.0
8,1,1,0.24980470538139343,3.0
8,1,1,0.6840896010398865,3.0
8,1,1,0.26148632168769836,3.0
8,1,1,0.24963322281837463,3.0
8,1,1,0.26147592067718506,3.0
8,1,1,0.24959909915924072,3.0
8,1,1,0.2498437911272049,3.0
8,1,1,0.2613179087638855,3.0
8,1,1,0.2496282309293747,3.0
8,1,1,0.24970655143260956,3.0
8,1,2,0.6703255772590637,3.0
8,1,2,1.0969960689544678,3.0
8,1,2,0.7071779370307922,3.0
8,1,2,0.6685220003128052,3.0
8,1,2,0.7008028030395508,3.0
8,1,2,0.9872251152992249,3.0
8,1,2,0.6733317971229553,3.0
8,1,2,0.7049320340156555,3.0
8,1,2,0.6723576784133911,3.0
8,1,2,0.7066181302070618,3.0
8,1,3,1.9888988733291626,3.0
8,1,3,1.6137782335281372,3.0
8,1,3,0.6687939763069153,3.0
8,1,3,0.6694697737693787,3.0
8,1,3,1.1176135540008545,3.0
8,1,3,1.1949677467346191,3.0
8,1,3,1.1108108758926392,3.0
8,1,3,1.9823106527328491,3.0
8,1,3,1.19593346118927,3.0
8,1,3,0.7034105062484741,3.0
8,2,1,0.2492486536502838,3.0
8,2,1,0.260901540517807,3.0
8,2,1,0.7080559134483337,3.0
8,2,1,0.7089696526527405,3.0
8,2,1,1.0155093669891357,3.0
8,2,1,0.7086730599403381,3.0
8,2,1,0.6716303825378418,3.0
8,2,1,0.30044448375701904,3.0
8,2,1,0.6723282933235168,3.0
8,2,1,0.2613709270954132,3.0
8,2,2,1.118526816368103,3.0
8,2,2,0.7032418251037598,3.0
8,2,2,1.1169350147247314,3.0
8,2,2,1.1147210597991943,3.0
8,2,2,2.484030246734619,3.0
8,2,2,1.1107279062271118,3.0
8,2,2,0.7965679168701172,3.0
8,2,2,2.0398690700531006,3.0
8,2,2,1.1055406332015991,3.0
8,2,2,1.5407651662826538,3.0
8,2,3,1.1173408031463623,3.0
8,2,3,2.0274198055267334,3.0
8,2,3,2.0325980186462402,3.0
8,2,3,2.9748311042785645,3.0
8,2,3,2.0294888019561768,3.0
8,2,3,1.6087477207183838,3.0
8,2,3,2.4690639972686768,3.0
8,2,3,2.0348899364471436,3.0
8,2,3,1.531214714050293,3.0
8,2,3,1.6181021928787231,3.0
8,3,1,0.6731411218643188,3.0
8,3,1,0.7041861414909363,3.0
8,3,1,1.0750185251235962,3.0
8,3,1,0.6716852188110352,3.0
8,3,1,0.6711491942405701,3.0
8,3,1,0.706301748752594,3.0
8,3,1,0.6734396815299988,3.0
8,3,1,0.6748009920120239,3.0
8,3,1,1.2092106342315674,3.0
8,3,1,0.6226617097854614,3.0
8,3,2,2.4870219230651855,3.0
8,3,2,2.976288318634033,3.0
8,3,2,1.6088474988937378,3.0
8,3,2,1.5342049598693848,3.0
8,3,2,1.6151326894760132,3.0
8,3,2,1.609786868095398,3.0
8,3,2,2.980766773223877,3.0
8,3,2,1.6075501441955566,3.0
8,3,2,2.9872021675109863,3.0
8,3,2,1.6101354360580444,3.0
8,3,3,1.9857497215270996,3.0
8,3,3,2.9733145236968994,3.0
8,3,3,1.9878885746002197,3.0
8,3,3,2.4766364097595215,3.0
8,3,3,2.9827754497528076,3.0
8,3,3,1.6088008880615234,3.0
8,3,3,1.0914692878723145,3.0
8,3,3,2.4831995964050293,3.0
8,3,3,1.534875512123108,3.0
8,3,3,2.0357089042663574,3.0
8,4,1,1.1220217943191528,3.0
8,4,1,1.1180616617202759,3.0
8,4,1,0.7054091691970825,3.0
8,4,1,1.2017889022827148,3.0
8,4,1,1.2027575969696045,3.0
8,4,1,0.6722791790962219,3.0
8,4,1,0.7073720097541809,3.0
8,4,1,0.6716862320899963,3.0
